DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,ES,2022-Q2,99.668,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,ES,2022-Q3,98.718,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,ES,2022-Q4,98.514,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,EU27_2020,2019-Q1,103.177,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,EU27_2020,2019-Q2,103.224,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,EU27_2020,2019-Q3,103.423,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,EU27_2020,2019-Q4,103.342,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,EU27_2020,2020-Q1,100.45,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,EU27_2020,2020-Q2,91.974,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,EU27_2020,2020-Q3,101.505,
ESTAT:NAMQ_10_LP_ULC(1.0),24/02/23 23:00:00,Q,I15,SCA,RLPR_PER,EU27_2020,2020-Q4,100.815,
