DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,PT,2020-S1,0.872,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,PT,2021-S1,0.87,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,PT,2022-S1,0.897,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,RO,2019-S1,2.641,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,RO,2020-S1,2.763,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,RO,2021-S1,2.853,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,RO,2022-S1,2.921,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,SE,2019-S1,11.66,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,SE,2020-S1,11.86,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,SE,2021-S1,12.18,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,SE,2022-S1,12.21,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,SI,2019-S1,0.822,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,SI,2020-S1,0.822,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,SI,2021-S1,0.819,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,SI,2022-S1,0.836,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,SK,2019-S1,0.692,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,SK,2020-S1,0.743,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,SK,2021-S1,0.777,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,SK,2022-S1,0.809,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,UK,2019-S1,1.085,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,UK,2020-S1,1.091,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,UK,2021-S1,1.105,
ESTAT:PRC_COLC_PPPNAT(1.0),3/11/2022 23:00,S,INX,TOTAL,UK,2022-S1,1.084,
